contract,family,freeze_time,max_raw_activity,mean_active_tpo,mean_active_volume,median_raw_activity,positive_tpo_ticks,positive_volume_ticks,profile_id,session_date,source_date,year
NQM9,prior_rth,2019-03-11T16:00:00-04:00,4.191861482685752762657864685778360128848,8.727454909819639278557114228,497.5631262525050100200400812,0.7414522986833680965621507496989949761466,499,499,02d6c21c7b93b5712a96,2019-03-12,2019-03-11,2019
NQM9,prior_rth,2019-05-16T16:00:00-04:00,4.061444254041764731086123624108050764595,12.58607350096711798839458414,726.0831721470019342359767907,0.4793473651891082066458520151458222546123,517,517,030771c5b9bcf1d3ee6b,2019-05-17,2019-05-16,2019
NQH9,prior_rth,2019-01-14T16:00:00-05:00,2.99789217203399285618233036866438190648,25.39393939393939393939393939,1179.597402597402597402597401,0.7208046280603780793748971741122269833172,231,231,0327f9c6289d20a35520,2019-01-15,2019-01-14,2019
NQU9,prior_rth,2019-08-27T16:00:00-04:00,3.106907293798795854924321918400081523111,17.8183856502242152466367713,820.6816143497757847533632287,0.8593799779343204321290315745,446,446,038916c838e3f81240a8,2019-08-28,2019-08-27,2019
NQH9,midnight,2019-03-01T09:30:00-05:00,2.92623079796692345901229094188110310843,27.66336633663366336633663366,433.2772277227722772277227721,0.8271630181602293974943343901603851280521,101,101,03c21eab4c532627bdcf,2019-03-01,2019-03-01,2019
NQU9,midnight,2019-09-10T09:30:00-04:00,2.364758682312741890700391777267157805101,27.69148936170212765957446809,387.952127659574468085106383,0.9977584336345104974939192185,188,188,03f2603e5e9a30fb6eb2,2019-09-10,2019-09-10,2019
NQH9,prior_rth,2019-02-14T16:00:00-05:00,2.942383994234170313918211941820259997213,18.97289156626506024096385542,1137.144578313253012048192773,0.913372489381720055411885849,332,332,042251ba58af8a687149,2019-02-15,2019-02-14,2019
NQH9,opening_hour_rth,2019-02-26T10:30:00-05:00,2.957462681152860973415188463608956775247,6.39010989010989010989010989,467.7857142857142857142857141,0.8630863763950177859931480665,182,182,044fc8d538e8d2cb0223,2019-02-26,2019-02-26,2019
NQZ9,midnight,2019-10-15T09:30:00-04:00,2.996093841040428786086012948920172638081,26.88271604938271604938271605,417.3518518518518518518518518,1.064032877295420726503729808,162,162,0470eeb58bcb2c7e309f,2019-10-15,2019-10-15,2019
NQH9,prior_rth,2019-03-04T16:00:00-05:00,2.294771338853632806513982441013166061853,13.30839416058394160583941606,878.7956204379562043795620456,1.027343823708852557299475789,548,548,04e69c645caeedcacc6f,2019-03-05,2019-03-04,2019
NQU9,midnight,2019-07-02T09:30:00-04:00,1.888294373415654612788296528998397541856,22.01379310344827586206896552,271.9999999999999999999999997,1.029192813496022913251077128751471366844,145,145,065916afcc9d0db18f2b,2019-07-02,2019-07-02,2019
NQZ9,opening_hour_rth,2019-12-13T10:30:00-05:00,2.1867598071852822079387637162566786555,6.739811912225705329153605016,220.0376175548589341692789975,0.9539600595513141465926718739975965221158,319,319,069a465479e66bbf20f7,2019-12-13,2019-12-13,2019
NQH9,midnight,2019-01-23T09:30:00-05:00,2.352275478225365500732629791099283201102,19.74778761061946902654867257,260.5265486725663716814159291,0.9795272164255073176721368015,226,226,06c13f25f54f4501e90f,2019-01-23,2019-01-23,2019
NQU9,prior_rth,2019-07-30T16:00:00-04:00,4.35326096349774589020485985160273675783,19.04669260700389105058365759,1068.214007782101167315175096,0.3713850888763824777927113357527881730228,257,257,06e70b6f2a16b0882785,2019-07-31,2019-07-30,2019
NQZ9,prior_rth,2019-09-17T16:00:00-04:00,3.43514472897657600127879949096630450565,20.18552036199095022624434389,830.5656108597285067873303204,0.3734955701223863875857475167659532112088,221,221,06fc22a10dadfe91f9b3,2019-09-18,2019-09-17,2019
