population,anchor,volume,horizon_bars,control_arm,treated_events,control_events,treated_continued_pct,control_continued_pct,difference_pp,full_years_agreeing,consistent,underpowered,treated_2019,treated_2021,treated_2023,treated_2025
POC,R03,below_normal,15,C02_ACTIVITY_MATCHED,422,288,55.21,54.17,1.04,2/4,False,False,61.54,52.80,55.66,52.00
POC,R03,below_normal,30,C01_NEUTRAL,422,412,51.18,51.94,-0.76,2/4,False,False,58.24,50.40,50.00,47.00
POC,R03,below_normal,30,C02_ACTIVITY_MATCHED,422,287,51.18,47.39,3.79,2/4,False,False,58.24,50.40,50.00,47.00
POC,R03,below_normal,60,C01_NEUTRAL,422,411,51.42,52.07,-0.65,2/4,False,False,52.75,53.60,49.06,50.00
POC,R03,below_normal,60,C02_ACTIVITY_MATCHED,422,286,51.42,48.95,2.47,3/4,True,False,52.75,53.60,49.06,50.00
POC,R04,below_normal,15,C01_NEUTRAL,504,501,52.78,51.10,1.68,2/4,False,False,54.17,51.11,54.40,51.61
POC,R04,below_normal,15,C02_ACTIVITY_MATCHED,504,382,52.78,51.57,1.21,3/4,True,False,54.17,51.11,54.40,51.61
POC,R04,below_normal,30,C01_NEUTRAL,504,501,50.20,50.30,-0.10,2/4,False,False,53.33,48.15,51.20,48.39
POC,R04,below_normal,30,C02_ACTIVITY_MATCHED,504,382,50.20,47.91,2.29,3/4,True,False,53.33,48.15,51.20,48.39
POC,R04,below_normal,60,C01_NEUTRAL,504,501,54.17,52.50,1.67,3/4,True,False,54.17,57.04,53.60,51.61
POC,R04,below_normal,60,C02_ACTIVITY_MATCHED,504,381,54.17,52.23,1.94,2/4,False,False,54.17,57.04,53.60,51.61
POC,R05,below_normal,15,C01_NEUTRAL,376,372,50.27,48.12,2.15,2/4,False,False,47.47,52.63,56.84,43.68
POC,R05,below_normal,15,C02_ACTIVITY_MATCHED,376,255,50.27,49.41,0.86,2/4,False,False,47.47,52.63,56.84,43.68
POC,R05,below_normal,30,C01_NEUTRAL,373,370,49.06,50.00,-0.94,2/4,False,False,47.96,47.87,53.19,47.13
POC,R05,below_normal,30,C02_ACTIVITY_MATCHED,373,254,49.06,48.43,0.63,1/4,False,False,47.96,47.87,53.19,47.13
POC,R05,below_normal,60,C01_NEUTRAL,370,367,48.65,49.05,-0.40,2/4,False,False,51.55,41.94,51.61,49.43
POC,R05,below_normal,60,C02_ACTIVITY_MATCHED,370,253,48.65,45.45,3.20,3/4,True,False,51.55,41.94,51.61,49.43
POC,R01,normal,15,C01_NEUTRAL,112,97,46.43,47.42,-0.99,2/4,False,False,31.25,43.75,57.14,60.00
POC,R01,normal,15,C02_ACTIVITY_MATCHED,112,69,46.43,36.23,10.20,3/4,True,False,31.25,43.75,57.14,60.00
POC,R01,normal,30,C01_NEUTRAL,112,97,53.57,47.42,6.15,3/4,True,False,53.12,53.12,50.00,60.00
POC,R01,normal,30,C02_ACTIVITY_MATCHED,112,69,53.57,44.93,8.64,3/4,True,False,53.12,53.12,50.00,60.00
POC,R01,normal,60,C01_NEUTRAL,106,94,57.55,52.13,5.42,3/4,True,False,56.67,58.06,64.00,50.00
POC,R01,normal,60,C02_ACTIVITY_MATCHED,106,67,57.55,47.76,9.79,4/4,True,False,56.67,58.06,64.00,50.00
POC,R02,normal,15,C01_NEUTRAL,91,94,51.65,51.06,0.59,2/4,False,False,66.67,47.62,47.83,46.15
POC,R02,normal,15,C02_ACTIVITY_MATCHED,91,61,51.65,45.90,5.75,3/4,True,False,66.67,47.62,47.83,46.15
POC,R02,normal,30,C01_NEUTRAL,91,94,54.95,53.19,1.76,3/4,True,False,57.14,52.38,43.48,65.38
POC,R02,normal,30,C02_ACTIVITY_MATCHED,91,61,54.95,47.54,7.41,3/4,True,False,57.14,52.38,43.48,65.38
POC,R02,normal,60,C01_NEUTRAL,89,91,47.19,51.65,-4.46,2/4,False,False,57.14,45.00,34.78,52.00
POC,R02,normal,60,C02_ACTIVITY_MATCHED,89,59,47.19,40.68,6.51,3/4,True,False,57.14,45.00,34.78,52.00
