relationship_id,control_family,allocation_method,bin_ratio,prominence_threshold,year,count,mean,median,standard_deviation,iqr,expected_sign_share,ci_low,ci_high
R03,C01,tpo_range_occupancy,0.1,1.5,2025,7,0.08095238095238095238095238096,0.09999999999999999999999999997,0.09200874124564722903948358195,0.15,0.5714285714285714285714285714,0.02857142857142857142857142858,0.15
R03,C01,tpo_range_occupancy,0.1,1.5,2026,1,-0.06666666666666666666666666667,-0.06666666666666666666666666667,,0,0,-0.06666666666666666666666666667,-0.06666666666666666666666666667
R03,C01,tpo_range_occupancy,0.1,2,2025,1,-0.2,-0.2,,0,0,-0.2,-0.2
R03,C01,tpo_range_occupancy,0.2,1.5,2019,3,0.03333333333333333333333333331,0.03333333333333333333333333334,0.1,0.1,0.6666666666666666666666666667,-0.0666666666666666666666666667,0.1333333333333333333333333333
R03,C01,tpo_range_occupancy,0.2,1.5,2021,3,0.05555555555555555555555555557,0.0666666666666666666666666667,0.1170628194761415427600156073,0.1166666666666666666666666667,0.6666666666666666666666666667,-0.06666666666666666666666666667,0.1666666666666666666666666667
R03,C01,tpo_range_occupancy,0.2,1.5,2023,4,-0.07500000000000000000000000002,-0.03333333333333333333333333333,0.1343709624716424942061102205,0.125,0.25,-0.2,0.01666666666666666666666666666
R03,C01,tpo_range_occupancy,0.2,1.5,2025,3,-0.1666666666666666666666666667,-0.1333333333333333333333333334,0.1527525231651946668862682398,0.15,0,-0.3333333333333333333333333334,-0.0333333333333333333333333333
R03,C01,tpo_range_occupancy,0.2,1.5,2026,1,0.0333333333333333333333333334,0.0333333333333333333333333334,,0,1,0.0333333333333333333333333334,0.0333333333333333333333333334
R03,C01,uniform_bar_volume,0.05,1.5,2019,12,0.08333333333333333333333333331,0.03333333333333333333333333333,0.147367471706519132952169229,0.1833333333333333333333333333,0.5833333333333333333333333333,0.005555555555555555555555555552,0.1818181818181818181818181818
R03,C01,uniform_bar_volume,0.05,1.5,2021,6,0.03333333333333333333333333333,0,0.08432740427115678218663716119,0.025,0.3333333333333333333333333333,-0.0111111111111111111111111111,0.1055555555555555555555555556
R03,C01,uniform_bar_volume,0.05,1.5,2023,11,-0.05454545454545454545454545455,-0.1,0.1416354689355955802353175982,0.1333333333333333333333333333,0.1818181818181818181818181818,-0.1242424242424242424242424242,0.03333333333333333333333333334
R03,C01,uniform_bar_volume,0.05,1.5,2025,13,-0.1076923076923076923076923076,-0.03333333333333333333333333333,0.2596842263902400289518328642,0.2,0.3076923076923076923076923077,-0.258974358974358974358974359,0.01025641025641025641025641025
R03,C01,uniform_bar_volume,0.05,1.5,2026,3,-0.06666666666666666666666666667,-0.06666666666666666666666666667,0.1333333333333333333333333333,0.1333333333333333333333333334,0.3333333333333333333333333333,-0.2,0.06666666666666666666666666667
R03,C01,uniform_bar_volume,0.05,2,2019,1,-0.03333333333333333333333333333,-0.03333333333333333333333333333,,0,0,-0.03333333333333333333333333333,-0.03333333333333333333333333333
R03,C01,uniform_bar_volume,0.05,2,2025,1,-0.03333333333333333333333333333,-0.03333333333333333333333333333,,0,0,-0.03333333333333333333333333333,-0.03333333333333333333333333333
R03,C01,uniform_bar_volume,0.1,1.5,2019,12,0.07499999999999999999999999998,0.03333333333333333333333333333,0.1429310775489114169048958797,0.1833333333333333333333333333,0.5833333333333333333333333333,-0.000000000000000000000000000005009615384615384615384615385,0.1696969696969696969696969697
R03,C01,uniform_bar_volume,0.1,1.5,2021,3,-0.0111111111111111111111111111,0,0.01924500897298752548363829266,0.01666666666666666666666666665,0,-0.0333333333333333333333333333,0
